1475068041613 test-addition 2 74 false
1475068082714 test-first 3 33 true
1475068112053 test-first 3 23 true
1475068240911 test-first 3 117 true
1475068542346 refactoring 3 129 false
1475068627250 refactoring 3 46 true
1475068815073 refactoring 3 44 false
1475068918398 refactoring 2A 40 false
1475068998505 test-first 3 32 true
1475069058568 test-first 3 29 true
1475069104504 test-first 3 23 true
1475069127678 test-first 3 13 true
1475069140560 refactoring 2A 2 false
1475069182686 refactoring 2A 1 false
1475069196585 refactoring 2A 1 false
1475069231631 test-first 3 25 true
1475069251538 test-first 3 14 true
1475069274663 test-first 3 16 true
1475069452266 refactoring 2A 6 true
1475069529331 refactoring 2A 3 false
1475069574041 test-first 3 16 true
